aleatorio,hibrido,guloso
0.0004961490631103516,0.0004951953887939453,0.0004956722259521484
0.0004954338073730469,0.0004968643188476562,0.0009922981262207031
0.0009908676147460938,0.0009918212890625,0.0014886856079101562
0.0004966259002685547,0.0004966259002685547,0.0009922981262207031
0.0004963874816894531,0.0009908676147460938,0.0014882087707519531
0.0004966259002685547,0.0009915828704833984,0.0009922981262207031
0.0004956722259521484,0.00049591064453125,0.0014882087707519531
0.0014879703521728516,0.0004966259002685547,0.00049591064453125
0.0009920597076416016,0.0004963874816894531,0.00049591064453125
0.0019843578338623047,0.0014886856079101562,0.00049591064453125
0.0009913444519042969,0.0004956722259521484,0.0014891624450683594
0.0004971027374267578,0.0009915828704833984,0.0004963874816894531
0.0009925365447998047,0.00049591064453125,0.0009913444519042969
0.0004966259002685547,0.0009927749633789062,0.00049591064453125
0.0009920597076416016,0.0004961490631103516,0.0004949569702148438
0.0004954338073730469,0.0004961490631103516,0.0004956722259521484
0.0009920597076416016,0.00049591064453125,0.0004956722259521484
0.0004963874816894531,0.0004954338073730469,0.0004954338073730469
0.0004954338073730469,0.0004956722259521484,0.0009913444519042969
0.0004963874816894531,0.0009922981262207031,0.0019838809967041016
0.0004956722259521484,0.0009920597076416016,0.0009915828704833984
0.0004954338073730469,0.0009911060333251953,0.0009922981262207031
0.00049591064453125,0.0004961490631103516,0.0004961490631103516
0.00049591064453125,0.0004949569702148438,0.0004961490631103516
0.0004963874816894531,0.0009920597076416016,0.0
0.00049591064453125,0.00049591064453125,0.0009927749633789062
0.0004966259002685547,0.0004954338073730469,0.0004954338073730469
0.0004961490631103516,0.00148773193359375,0.0004961490631103516
0.00049591064453125,0.0004963874816894531,0.00049591064453125
0.0009927749633789062,0.0004961490631103516,0.00049591064453125
