entrada,execucao,solucao
1,1,582
1,2,411
1,3,483
1,4,586
1,5,586
1,6,447
1,7,453
1,8,476
1,9,494
1,10,487
1,11,383
1,12,465
1,13,570
1,14,654
1,15,422
1,16,562
1,17,515
1,18,465
1,19,582
1,20,483
1,21,350
1,22,415
1,23,484
1,24,518
1,25,562
1,26,587
1,27,513
1,28,510
1,29,483
1,30,481
2,1,143
2,2,156
2,3,114
2,4,54
2,5,158
2,6,136
2,7,153
2,8,143
2,9,158
2,10,92
2,11,158
2,12,133
2,13,133
2,14,119
2,15,96
2,16,158
2,17,156
2,18,96
2,19,156
2,20,93
2,21,106
2,22,151
2,23,158
2,24,114
2,25,100
2,26,156
2,27,106
2,28,156
2,29,156
2,30,126
